label,n_features,cv_acc,cv_f1,cv_auc,holdout_acc,holdout_f1,holdout_auc
Full Model,9,0.6594231414668823,0.0440268863384478,0.3261236935375824,0.8167338322778738,0.6419197600299963,0.835176089436459
Baseline,4,0.6400414884747075,0.043508748048170245,0.3166738430672901,0.7973517559009787,0.6223175965665236,0.8176082135523615
Pre-Release,5,0.7002955504226653,0.36808186840223944,0.7002253413427548,0.7457301861446939,0.5235526788924847,0.764637645448323
