,importance
runtime,0.18766403885306437
popularity,0.16348703919462032
budget,0.1272752112709581
log_budget,0.12549545799475023
vote_count,0.12142014485759628
popularity_x_votes,0.10734665127712056
release_month,0.08076348574105176
vote_average,0.06721415964135238
has_homepage,0.019333811169486036
