label,n_features,cv_acc,cv_f1,cv_auc,holdout_acc,holdout_f1,holdout_auc
Full Model,9,0.6594231414668823,0.0440268863384478,0.3261236935375824,0.8167338322778738,0.6419197600299963,0.835176089436459
Ablation,7,0.6582238591302498,0.04059251804024629,0.3900001956214772,0.8167338322778738,0.6432573776615614,0.8341298653890029
